"name","description","url","numbers","citations"
"Hemorrhagic stroke","Intracranial, cerebral or subarachnoid hemorrhage condition record during an inpatient or ER visit; successive records with > 180 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Hemorrhagic%20stroke.json","[101-105]","@Andrade2012 @Park2016 @Gon2017 @Sung2016 @Tu2013"
"Hepatic failure","The first condition record of hepatic failure, necrosis, or coma","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Hepatic%20failure.json","[19, 106-113]","@Afzal2013 @Bui2014 @Cheetham2014 @Jinjuvadia2007 @Lo_Re2015 @Lo_Re2013 @Overby2013 @Udo2016 @Wing2016"
"Hospitalization for heart failure","Inpatient or ER visits with heart failure condition record; all qualifying inpatient visits occurring > 7 days apart are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Hospitalization%20with%20heart%20failure.json","[93, 98, 99, 114, 115]","@Kaspar2018 @Feder2018 @Rosenman2014 @Ryan2018 @Voors2017"
"Hyperkalemia","Condition record for hyperkalemia or potassium measurements > 5.6 mmol/L; successive records with >90 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Hyperkalemia.json","[118-120]","@Abbas2015 @Betts2018 @Fitch2017"
"Hypokalemia","Hypokalemia condition record of any type; successive records with > 90 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Hypokalemia.json","[121]","@Krogager2017"
"Hypomagnesemia","Hypomagnesemia condition record of any type; successive records with > 90 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Hypomagnesemia.json","[122, 123]","@Koulouridis2013 @Markovits2014"
"Hyponatremia","Hyponatremia condition record of any type; successive records with > 90 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Hyponatremia.json","[124, 125]","@Movig2003 @Shea2008"
"Hypotension","Hypotension condition record of any type; successive records with > 90 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Hypotension.json","[126]","@Chrischilles2001"
"Impotence","The first condition record of impotence","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Impotence.json","[127-130]","@Bekelman2011 @Frederick2014 @McVary2008 @Mulhall2016"
"Ischemic stroke","Ischemic stroke condition record during an inpatient or ER visit; successive records with > 180 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Ischemic%20stroke.json","[10, 12, 13, 101, 131]","@Floyd2016b @Singh2018 @Wahl2010 @Andrade2012 @Yuan2017"
"Malignant neoplasm","First occurrence of malignant neoplasm, followed by at least one additional diagnosis of the same type (melanoma, bladder, brain, breast, colon and rectum, kidney, leukemia, liver, lung, lymphoma, multiple myeloma, ovary, pancreas, prostate, thyroid, uterus, myelodysplastic syndrome)","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Malignant%20neoplasm.json","[132-147]","@Czwikla2017 @Abraha2018a @Abraha2018b @Baldi2008 @Cea_Soriano2016 @Chawla2014 @Creighton2016 @Dregan2012 @Goldsbury2017 @Gupta2018 @Hassett2014 @Kim2013 @Nordstrom2012 @Penberthy2003 @Stavrou2012 @Goldberg2013"
"Measured renal dysfunction","The first creatinine measurement with value > 3 mg/dL","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Measured%20renal%20dysfunction.json","[26]","@Rhee2015"
"Nausea","Nausea condition record of any type; successive records with > 30 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Nausea.json","[4, 148, 149]","@Goldstein2003 @Donga2017 @Marrett2016"
"Neutropenia or agranulocytosis","The first condition record of neutropenia or agranulocytosis","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Neutropenia%20or%20agranulocytosis.json","[150, 151]","@Kim2011 @Weycker2013"
"Rash","Rash condition record of any type; successive records with > 90 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Rash.json","[152]","@Schneider2012b"
"Rhabdomyolysis","Rhabdomyolysis condition record or muscle disorder condition record with creatine measurement 5*ULN during an inpatient or ER visit; successive records with >90 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Rhabdomyolysis.json","[153, 154]","@Andrade2005 @Chan2017"
"Stroke","Stroke (ischemic or hemorrhagic) condition record during an inpatient or ER visit; successive records with > 180 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Stroke.json","[10, 12, 13, 43, 101-105, 131]","@Floyd2016b @Singh2018 @Wahl2010 @Gage2001 @Andrade2012 @Park2016 @Gon2017 @Sung2016 @Tu2013 @Yuan2017"
"Sudden cardiac death","Sudden cardiac death condition record during an inpatient or ER visit; successive records with > 180 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Sudden%20cardiac%20death.json","[12, 41]","@Singh2018 @Hennessy2010"
"Syncope","Syncope condition record of any type; successive records with > 180 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Syncope.json","[126]","@Chrischilles2001"
"Thrombocytopenia","The first condition record of thrombocytopenia","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Thrombocytopenia.json","[148, 155, 156]","@Donga2017 @Wahl2010b @Moulis2016"
"Transient ischemic attack","Transient ischemic attack condition record during an inpatient or ER visit; successive records with > 30 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Transient%20ischemic%20attack.json","[101, 131]","@Andrade2012 @Yuan2017"
"Type 2 diabetes mellitus","The first condition record of Type 2 Diabetes Mellitus, which is followed by another Type 2 Diabetes Mellitus condition record, at least 2 drugs used to treat Type 2 diabetes, or at least 2 HbA1c measurements with value > 6.5%","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Type%202%20diabetes%20mellitus.json","[67, 157-159]","@Williamson2014 @Khokhar2016 @Leong2013 @Chen2010"
"Unstable angina","Inpatient or ER visits with preinfarction syndrome condition record; all qualifying inpatient visits occurring > 7 days apart are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Hospitalization%20with%20preinfarction%20syndrome.json","[48, 116, 117]","@Zaher2004 @Saver2009 @Varas-Lorenzo2008"
"Vasculitis","The first condition record of vasculitis, which is followed by another vasculitis condition record or drug to treat vasculitis","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Vasculitis.json","[160, 161]","@Thorpe2018 @England2017"
"Venous thromboembolic events","Venous thromboembolism condition record of any type; successive records with > 180 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Venous%20thromboembolic%20events%20.json","[162-165]","@Tamariz2012b @Burwen2017 @Coleman2016 @Ammann2018b"
"Vertigo","The first condition record of vertigo","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Vertigo.json","[166]","@Koo2016"
"Vomiting","Vomiting condition record of any type; successive records with > 30 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Vomiting.json","[4, 148, 149]","@Goldstein2003 @Donga2017 @Marrett2016"
